0;Labels
Yotam Ottolenghi;['Category:1968 births', 'Category:All articles with unsourced statements', 'Category:Alumni of Le Cordon Bleu', 'Category:Articles with Spanish-language external links', 'Category:Articles with hCards', 'Category:Articles with unsourced statements from March 2015', 'Category:Cookbook writers', 'Category:Gay writers', 'Category:Israeli Jews', 'Category:Israeli chefs', 'Category:Israeli emigrants to the United Kingdom', 'Category:Israeli people of German-Jewish descent', 'Category:Israeli people of Italian-Jewish descent', 'Category:James Beard Foundation Award winners', 'Category:LGBT Jews', 'Category:LGBT people from Israel', 'Category:Living people', 'Category:People from Jerusalem', 'Category:People from London', 'Category:Use dmy dates from September 2015', 'Category:Webarchive template wayback links', 'Category:Wikipedia articles with BNE identifiers', 'Category:Wikipedia articles with BNF identifiers', 'Category:Wikipedia articles with GND identifiers', 'Category:Wikipedia articles with ISNI identifiers', 'Category:Wikipedia articles with LCCN identifiers', 'Category:Wikipedia articles with NKC identifiers', 'Category:Wikipedia articles with VIAF identifiers', 'Category:Wikipedia articles with WorldCat-VIAF identifiers']
Young's Jersey Dairy;['Category:Dairy farming in the United States', 'Category:Farms in Ohio', 'Category:Restaurants in Ohio', 'Category:Yellow Springs, Ohio']
Yum! Brands;['Category:1997 establishments in Kentucky', 'Category:American companies established in 1997', 'Category:Articles with short description', 'Category:Companies based in Louisville, Kentucky', 'Category:Companies listed on the New York Stock Exchange', 'Category:Corporate spin-offs', 'Category:Food and drink companies based in Kentucky', 'Category:Food and drink companies of the United States', 'Category:Multinational food companies', 'Category:Restaurant groups in the United States', 'Category:Restaurants established in 1997', 'Category:Use mdy dates from April 2017', 'Category:Yum! Brands']
Yup'ik cuisine;['Category:All pages needing cleanup', 'Category:Articles needing cleanup from March 2019', 'Category:Articles with attributed pull quotes', 'Category:Cleanup tagged articles with a reason field from March 2019', 'Category:Commons category link is on Wikidata', 'Category:Commons category link is on Wikidata using P373', 'Category:Diets', 'Category:Indigenous cuisine of the Americas', 'Category:Interlanguage link template link number', 'Category:Inuit cuisine', 'Category:Tagged pages containing blacklisted links', 'Category:Wikipedia pages needing cleanup from March 2019', 'Category:Yupik culture']
Yusheng;['Category:All articles needing additional references', 'Category:All articles with unsourced statements', 'Category:Articles containing Chinese-language text', 'Category:Articles containing traditional Chinese-language text', 'Category:Articles containing video clips', 'Category:Articles needing additional references from November 2014', 'Category:Articles with short description', 'Category:Articles with unsourced statements from February 2008', 'Category:Articles with unsourced statements from February 2019', 'Category:Articles with unsourced statements from October 2011', 'Category:CS1 maint: Archived copy as title', 'Category:Cantonese cuisine', 'Category:Chinese New Year foods', 'Category:Commons category link is on Wikidata', 'Category:Raw fish salads', 'Category:Salmon dishes', 'Category:Singaporean cuisine']
Yuzu;"['Category:All articles with unsourced statements', 'Category:Articles containing Chinese-language text', 'Category:Articles containing Japanese-language text', 'Category:Articles containing Korean-language text', ""Category:Articles with 'species' microformats"", 'Category:Articles with unsourced statements from April 2019', 'Category:CS1 Japanese-language sources (ja)', 'Category:Citrus', 'Category:Commons category link is on Wikidata', 'Category:Fruits originating in Asia', 'Category:Japanese fruit', 'Category:Korean cuisine', 'Category:Webarchive template wayback links', 'Category:Wikipedia articles with NDL identifiers']"
Zapiekanka;['Category:All articles with unsourced statements', 'Category:Articles containing Polish-language text', 'Category:Articles with unsourced statements from March 2016', 'Category:Baked goods', 'Category:CS1 Polish-language sources (pl)', 'Category:Polish cuisine', 'Category:Sandwiches', 'Category:Street food']
Zivania;['Category:All articles with unsourced statements', 'Category:Articles containing Greek-language text', 'Category:Articles with hProducts', 'Category:Articles with hRecipes', 'Category:Articles with unsourced statements from November 2011', 'Category:CS1 Greek-language sources (el)', 'Category:CS1 maint: Archived copy as title', 'Category:Cypriot cuisine', 'Category:Greek distilled drinks', 'Category:Pomace brandies']
Ziziphus mauritiana;"[""Category:Articles with 'species' microformats"", 'Category:Commons category link is on Wikidata', 'Category:Crops originating from India', 'Category:Crops originating from Pakistan', 'Category:Desert fruits', 'Category:Drought-tolerant plants', 'Category:Drought-tolerant trees', 'Category:Flora naturalised in Australia', 'Category:Flora of China', 'Category:Flora of India (region)', 'Category:Flora of Indo-China', 'Category:Flora of Nepal', 'Category:Fruits originating in Asia', 'Category:Indomalaya ecozone flora', 'Category:Taxa named by Jean-Baptiste Lamarck', 'Category:Taxonbars with 20–24 taxon IDs', 'Category:Ziziphus']"
Zombie Hut;['Category:1945 establishments in California', 'Category:1990 disestablishments in California', 'Category:20th-century American businesspeople', 'Category:All orphaned articles', 'Category:Commons category link from Wikidata', 'Category:Companies based in Sacramento, California', 'Category:Orphaned articles from March 2018', 'Category:Restaurant chains in the United States', 'Category:Restaurants disestablished in 1990', 'Category:Restaurants established in 1945', 'Category:Theme restaurants', 'Category:Tiki bars', 'Category:Tiki culture']
Zott (dairy company);['Category:1926 establishments in Germany', 'Category:All articles with a promotional tone', 'Category:All articles with dead external links', 'Category:All articles with unsourced statements', 'Category:Articles with a promotional tone from April 2018', 'Category:Articles with dead external links from July 2016', 'Category:Articles with permanently dead external links', 'Category:Articles with unsourced statements from January 2016', 'Category:Commons category link is on Wikidata', 'Category:Companies based in Bavaria', 'Category:Dairy products companies of Germany', 'Category:Food and drink companies established in 1926', 'Category:German brands', 'Category:Multinational dairy companies', 'Category:Multinational food companies', 'Category:Webarchive template wayback links', 'Category:Wikipedia articles with GND identifiers', 'Category:Wikipedia articles with VIAF identifiers', 'Category:Wikipedia articles with WorldCat-VIAF identifiers', 'Category:Yogurt companies']
Zoës Kitchen;['Category:All articles with a promotional tone', 'Category:Articles with a promotional tone from June 2016', 'Category:Companies based in Plano, Texas', 'Category:Companies formerly listed on the New York Stock Exchange', 'Category:Economy of the Southeastern United States', 'Category:Economy of the Southwestern United States', 'Category:Fast casual restaurants', 'Category:Fast-food chains of the United States', 'Category:Official website different in Wikidata and Wikipedia', 'Category:Restaurant chains in the United States', 'Category:Restaurants established in 1995', 'Category:Restaurants in Birmingham, Alabama']
Zōni;['Category:Articles containing Japanese-language text', 'Category:CS1 Japanese-language sources (ja)', 'Category:CS1 uses Japanese-language script (ja)', 'Category:Commons category link is on Wikidata', 'Category:Japanese New Year foods', 'Category:Japanese soups and stews']
À la Maréchale;['Category:CS1 French-language sources (fr)', 'Category:CS1 Russian-language sources (ru)', 'Category:CS1 maint: Uses authors parameter', 'Category:French cuisine', 'Category:Meat dishes', 'Category:Stuffed dishes']
À la zingara;['Category:2013 controversies', 'Category:Articles with German-language external links', 'Category:CS1 Dutch-language sources (nl)', 'Category:CS1 German-language sources (de)', 'Category:Condiments', 'Category:Food ingredients', 'Category:French cuisine', 'Category:Pages containing links to subscription-only content', 'Category:Sauces']
